States,Agegrp,Month,Deaths
Alabama,55-64 years,5/1/2021,792
Alabama,55-64 years,6/1/2021,732
Alabama,55-64 years,7/1/2021,790
Alabama,55-64 years,8/1/2021,1170
Alabama,55-64 years,9/1/2021,1248
Alabama,55-64 years,10/1/2021,898
Alabama,55-64 years,11/1/2021,758
Alabama,55-64 years,12/1/2021,802
Alabama,65-74 years,1/1/2018,1234
Alabama,65-74 years,2/1/2018,962
Alabama,65-74 years,3/1/2018,1011
Alabama,65-74 years,4/1/2018,879
Alabama,65-74 years,5/1/2018,1006
Alabama,65-74 years,6/1/2018,933
Alabama,65-74 years,7/1/2018,910
Alabama,65-74 years,8/1/2018,898
Alabama,65-74 years,9/1/2018,904
Alabama,65-74 years,10/1/2018,915
Alabama,65-74 years,11/1/2018,901
Alabama,65-74 years,12/1/2018,1028
Alabama,65-74 years,1/1/2019,1094
Alabama,65-74 years,2/1/2019,960
Alabama,65-74 years,3/1/2019,1022
Alabama,65-74 years,4/1/2019,975
Alabama,65-74 years,5/1/2019,1010
Alabama,65-74 years,6/1/2019,910
Alabama,65-74 years,7/1/2019,991
Alabama,65-74 years,8/1/2019,984
Alabama,65-74 years,9/1/2019,925
Alabama,65-74 years,10/1/2019,956
Alabama,65-74 years,11/1/2019,1003
Alabama,65-74 years,12/1/2019,1087
Alabama,65-74 years,1/1/2020,1062
Alabama,65-74 years,2/1/2020,998
Alabama,65-74 years,3/1/2020,1075
Alabama,65-74 years,4/1/2020,1083
Alabama,65-74 years,5/1/2020,1110
Alabama,65-74 years,6/1/2020,1053
Alabama,65-74 years,7/1/2020,1309
Alabama,65-74 years,8/1/2020,1259
Alabama,65-74 years,9/1/2020,1175
Alabama,65-74 years,10/1/2020,1224
Alabama,65-74 years,11/1/2020,1316
Alabama,65-74 years,12/1/2020,1659
Alabama,65-74 years,1/1/2021,1855
Alabama,65-74 years,2/1/2021,1306
Alabama,65-74 years,3/1/2021,1164
Alabama,65-74 years,4/1/2021,1195
Alabama,65-74 years,5/1/2021,1153
Alabama,65-74 years,6/1/2021,1067
Alabama,65-74 years,7/1/2021,1107
Alabama,65-74 years,8/1/2021,1574
Alabama,65-74 years,9/1/2021,1632
Alabama,65-74 years,10/1/2021,1380
Alabama,65-74 years,11/1/2021,1227
Alabama,65-74 years,12/1/2021,1210
Alabama,75-84 years,1/1/2018,1406
Alabama,75-84 years,2/1/2018,1119
Alabama,75-84 years,3/1/2018,1138
Alabama,75-84 years,4/1/2018,1145
Alabama,75-84 years,5/1/2018,1137
Alabama,75-84 years,6/1/2018,990
Alabama,75-84 years,7/1/2018,1084
Alabama,75-84 years,8/1/2018,1135
Alabama,75-84 years,9/1/2018,1015
Alabama,75-84 years,10/1/2018,1117
Alabama,75-84 years,11/1/2018,1073
Alabama,75-84 years,12/1/2018,1210
Alabama,75-84 years,1/1/2019,1225
Alabama,75-84 years,2/1/2019,1116
Alabama,75-84 years,3/1/2019,1276
Alabama,75-84 years,4/1/2019,1123
Alabama,75-84 years,5/1/2019,1102
Alabama,75-84 years,6/1/2019,1067
Alabama,75-84 years,7/1/2019,1060
Alabama,75-84 years,8/1/2019,1060
Alabama,75-84 years,9/1/2019,980
Alabama,75-84 years,10/1/2019,1075
Alabama,75-84 years,11/1/2019,1150
Alabama,75-84 years,12/1/2019,1224
Alabama,75-84 years,1/1/2020,1206
Alabama,75-84 years,2/1/2020,1167
Alabama,75-84 years,3/1/2020,1202
Alabama,75-84 years,4/1/2020,1242
Alabama,75-84 years,5/1/2020,1262
Alabama,75-84 years,6/1/2020,1249
Alabama,75-84 years,7/1/2020,1485
Alabama,75-84 years,8/1/2020,1525
Alabama,75-84 years,9/1/2020,1279
Alabama,75-84 years,10/1/2020,1362
Alabama,75-84 years,11/1/2020,1431
Alabama,75-84 years,12/1/2020,1918
Alabama,75-84 years,1/1/2021,2107
Alabama,75-84 years,2/1/2021,1504
Alabama,75-84 years,3/1/2021,1352
Alabama,75-84 years,4/1/2021,1204
Alabama,75-84 years,5/1/2021,1209
Alabama,75-84 years,6/1/2021,1149
Alabama,75-84 years,7/1/2021,1221
Alabama,75-84 years,8/1/2021,1552
Alabama,75-84 years,9/1/2021,1530
Alabama,75-84 years,10/1/2021,1320
Alabama,75-84 years,11/1/2021,1285
Alabama,75-84 years,12/1/2021,1335
Alabama,85+ years,1/1/2018,1406
Alabama,85+ years,2/1/2018,1131
Alabama,85+ years,3/1/2018,1146
Alabama,85+ years,4/1/2018,1101
Alabama,85+ years,5/1/2018,1067
Alabama,85+ years,6/1/2018,1021
Alabama,85+ years,7/1/2018,1020
Alabama,85+ years,8/1/2018,993
Alabama,85+ years,9/1/2018,1017
Alabama,85+ years,10/1/2018,1047
Alabama,85+ years,11/1/2018,1093
Alabama,85+ years,12/1/2018,1229
Alabama,85+ years,1/1/2019,1224
Alabama,85+ years,2/1/2019,1115
Alabama,85+ years,3/1/2019,1128
Alabama,85+ years,4/1/2019,1032
Alabama,85+ years,5/1/2019,1111
Alabama,85+ years,6/1/2019,1034
Alabama,85+ years,7/1/2019,1092
Alabama,85+ years,8/1/2019,1045
Alabama,85+ years,9/1/2019,1017
Alabama,85+ years,10/1/2019,1026
Alabama,85+ years,11/1/2019,1088
Alabama,85+ years,12/1/2019,1168
Alabama,85+ years,1/1/2020,1194
Alabama,85+ years,2/1/2020,1120
Alabama,85+ years,3/1/2020,1171
Alabama,85+ years,4/1/2020,1195
Alabama,85+ years,5/1/2020,1230
Alabama,85+ years,6/1/2020,1150
Alabama,85+ years,7/1/2020,1359
Alabama,85+ years,8/1/2020,1376
Alabama,85+ years,9/1/2020,1272
Alabama,85+ years,10/1/2020,1249
Alabama,85+ years,11/1/2020,1350
Alabama,85+ years,12/1/2020,1781
Alabama,85+ years,1/1/2021,1902
Alabama,85+ years,2/1/2021,1255
Alabama,85+ years,3/1/2021,1115
Alabama,85+ years,4/1/2021,1070
Alabama,85+ years,5/1/2021,1068
Alabama,85+ years,6/1/2021,1049
Alabama,85+ years,7/1/2021,1076
Alabama,85+ years,8/1/2021,1296
Alabama,85+ years,9/1/2021,1224
Alabama,85+ years,10/1/2021,1175
Alabama,85+ years,11/1/2021,1111
Alabama,85+ years,12/1/2021,1214
Alaska,< 1 year,7/1/2021,10
Alaska,15-24 years,4/1/2018,10
Alaska,15-24 years,5/1/2018,10
Alaska,15-24 years,9/1/2018,10
Alaska,15-24 years,3/1/2019,13
Alaska,15-24 years,5/1/2019,13
Alaska,15-24 years,6/1/2019,13
Alaska,15-24 years,7/1/2019,11
Alaska,15-24 years,9/1/2019,10
Alaska,15-24 years,11/1/2019,15
Alaska,15-24 years,12/1/2019,12
Alaska,15-24 years,2/1/2020,15
Alaska,15-24 years,4/1/2020,10
Alaska,15-24 years,5/1/2020,12
Alaska,15-24 years,6/1/2020,12
Alaska,15-24 years,7/1/2020,17
Alaska,15-24 years,8/1/2020,12
Alaska,15-24 years,10/1/2020,17
Alaska,15-24 years,11/1/2020,10
Alaska,15-24 years,1/1/2021,12
Alaska,15-24 years,3/1/2021,19
Alaska,15-24 years,4/1/2021,12
Alaska,15-24 years,5/1/2021,13
Alaska,15-24 years,6/1/2021,10
Alaska,15-24 years,7/1/2021,16
Alaska,15-24 years,8/1/2021,20
Alaska,15-24 years,11/1/2021,10
Alaska,25-34 years,1/1/2018,16
Alaska,25-34 years,2/1/2018,19
Alaska,25-34 years,3/1/2018,20
Alaska,25-34 years,4/1/2018,17
Alaska,25-34 years,5/1/2018,14
Alaska,25-34 years,6/1/2018,18
Alaska,25-34 years,7/1/2018,12
Alaska,25-34 years,8/1/2018,18
Alaska,25-34 years,9/1/2018,12
Alaska,25-34 years,10/1/2018,15
Alaska,25-34 years,11/1/2018,15
Alaska,25-34 years,12/1/2018,17
Alaska,25-34 years,1/1/2019,21
Alaska,25-34 years,2/1/2019,20
Alaska,25-34 years,3/1/2019,20
Alaska,25-34 years,4/1/2019,15
Alaska,25-34 years,5/1/2019,26
Alaska,25-34 years,6/1/2019,12
Alaska,25-34 years,7/1/2019,16
Alaska,25-34 years,8/1/2019,14
Alaska,25-34 years,9/1/2019,16
Alaska,25-34 years,10/1/2019,27
Alaska,25-34 years,11/1/2019,19
Alaska,25-34 years,12/1/2019,21
Alaska,25-34 years,1/1/2020,22
Alaska,25-34 years,2/1/2020,11
Alaska,25-34 years,3/1/2020,20
Alaska,25-34 years,4/1/2020,13
Alaska,25-34 years,5/1/2020,28
Alaska,25-34 years,6/1/2020,20
Alaska,25-34 years,7/1/2020,22
Alaska,25-34 years,8/1/2020,16
Alaska,25-34 years,9/1/2020,20
Alaska,25-34 years,10/1/2020,27
Alaska,25-34 years,11/1/2020,16
Alaska,25-34 years,12/1/2020,23
Alaska,25-34 years,1/1/2021,24
Alaska,25-34 years,2/1/2021,22
Alaska,25-34 years,3/1/2021,18
Alaska,25-34 years,4/1/2021,22
Alaska,25-34 years,5/1/2021,29
Alaska,25-34 years,6/1/2021,32
Alaska,25-34 years,7/1/2021,19
Alaska,25-34 years,8/1/2021,31
Alaska,25-34 years,9/1/2021,24
Alaska,25-34 years,10/1/2021,33
Alaska,25-34 years,11/1/2021,29
Alaska,25-34 years,12/1/2021,19
Alaska,35-44 years,1/1/2018,23
Alaska,35-44 years,2/1/2018,13
Alaska,35-44 years,3/1/2018,19
Alaska,35-44 years,4/1/2018,18
Alaska,35-44 years,5/1/2018,16
Alaska,35-44 years,6/1/2018,14
Alaska,35-44 years,7/1/2018,19
Alaska,35-44 years,8/1/2018,15
Alaska,35-44 years,9/1/2018,14
Alaska,35-44 years,11/1/2018,15
Alaska,35-44 years,12/1/2018,31
Alaska,35-44 years,1/1/2019,25
Alaska,35-44 years,2/1/2019,28
Alaska,35-44 years,3/1/2019,15
Alaska,35-44 years,4/1/2019,24
Alaska,35-44 years,5/1/2019,19
Alaska,35-44 years,6/1/2019,31
Alaska,35-44 years,7/1/2019,14
Alaska,35-44 years,8/1/2019,19
Alaska,35-44 years,9/1/2019,19
Alaska,35-44 years,10/1/2019,17
Alaska,35-44 years,11/1/2019,16
Alaska,35-44 years,12/1/2019,15
Alaska,35-44 years,1/1/2020,18
